file_name,Correctness
2024-02-13 16.44 00%20-%20DigitalCam%20Nominal-representations.aird.xes,1.0
2024-02-13 16.59 00%20-%20DigitalCam%20Parallel-representations.aird.xes,1.0
2024-02-13 17.34 01%20-%20FIRFIRGCD-representations.aird.xes,1.0
2024-02-14 14.40 02%20-%20RT%20App-representations.aird.xes,1.0
2024-02-14 14.50 03%20-%20RT%20App%20Paper-representations.aird.xes,0.9887640449438202
2024-02-14 15.04 04%20-%20RT%20App%20Paper%202-representations.aird.xes,1.0
2024-02-14 15.40 05%20-%20Hepsy%20Example-representations.aird.xes,1.0
2024-02-14 15.51 06%20-%20Sobel-representations.aird.xes,1.0
2024-02-14 15.52 07%20-%20Roberts-representations.aird.xes,1.0
2024-02-14 16.25 08%20-%20RASTA-PLP-representations.aird.xes,0.9923076923076923
2024-02-14 17.00 09%20-%20Susan-representations.aird.xes,1.0
2024-02-14 17.46 10%20-%20JPEG_encoder-representations.aird.xes,1.0
2024-02-14 17.58 11%20-%20JPEG%20Reduced-representations.aird.xes,1.0
2024-02-14 18.17 12%20-%20FIRFIRGCD_ext-representations.aird.xes,1.0
2024-02-14 18.30 13%20-%20FIRFIRGCD_HPV-representations.aird.xes,1.0
