File,LLM,Levenshtein-Dist,Levenshtein-Sim,LCS-Dist,LCS-Sim,Overlap,Jaro-Sim,1-cosine,2-cosine,3-cosine,4-cosine,1-jaccard,2-jaccard,3-jaccard,4-jaccard,1-sorensen_dice,2-sorensen_dice,3-sorensen_dice,4-sorensen_dice,1-qgram,2-qgram,3-qgram,4-qgram
Susan,CLAUDE,674,0.625971143,782,0.775674125,0.959235028,0.841620876,0.998554652,0.996049059,0.986079586,0.893556786,1,0.981481481,0.941860465,0.708661417,1,0.990654206,0.97005988,0.829493088,0.932307692,0.926153846,0.902439024,0.737430168
JPEG,CLAUDE,2001,0.676003886,2415,0.800132417,0.958392908,0.836707502,0.99838346,0.995314206,0.985907195,0.899372357,1,0.944444444,0.894117647,0.68,1,0.971428571,0.944099379,0.80952381,0.934482759,0.927773001,0.919451585,0.771971496
JPEG-R,CLAUDE,1020,0.625688073,1199,0.778332409,0.96163522,0.847897095,0.999933019,0.999776831,0.998472128,0.912412648,1,0.981481481,0.941860465,0.715447154,1,0.990654206,0.97005988,0.834123223,0.988023952,0.984031936,0.968253968,0.8
FFG-Ext,CLAUDE,2594,0.634544942,3071,0.777962548,0.960796593,0.839800917,0.999836711,0.999535616,0.997915162,0.90724416,1,0.981481481,0.941860465,0.621212121,1,0.990654206,0.97005988,0.76635514,0.942771084,0.94126506,0.925261584,0.761806982
FFG-HPV,CLAUDE,1993,0.630309776,2336,0.781804596,0.959510956,0.848699702,0.999710354,0.999177024,0.996289959,0.90869325,1,0.981481481,0.941860465,0.658914729,1,0.990654206,0.97005988,0.794392523,0.976143141,0.97415507,0.952755906,0.782374101
DG-N,GEMINI,1029,0.538771851,1259,0.681023562,1,0.781019315,0.997392269,0.991871072,0.956752771,0.865753167,1,0.981818182,0.886363636,0.641791045,1,0.990825688,0.939759036,0.781818182,0.774509804,0.773955774,0.734939759,0.646788991
DG-P,GEMINI,2235,0.601746258,2564,0.727234043,0.998888889,0.747169351,0.993526438,0.982780446,0.953051524,0.883772372,0.615384615,0.545454545,0.5,0.421487603,0.761904762,0.705882353,0.666666667,0.593023256,0.633546035,0.614066727,0.580901857,0.521294719
FFG,GEMINI,1922,0.552398696,2479,0.686242248,0.993221131,0.798650818,0.993438784,0.973279952,0.900998394,0.731072631,0.962962963,0.888888889,0.811764706,0.582677165,0.981132075,0.941176471,0.896103896,0.736318408,0.81372549,0.77005988,0.714285714,0.595238095
RT-A,GEMINI,822,0.497861943,1054,0.670419012,0.983225108,0.831007293,0.995890706,0.981253692,0.920290348,0.75934719,0.962962963,0.907407407,0.835294118,0.5859375,0.981132075,0.951456311,0.91025641,0.738916256,0.889967638,0.796296296,0.695906433,0.533156499
RT-AR,GEMINI,910,0.52653486,1141,0.695489725,0.984750462,0.832729646,0.996890439,0.984670313,0.934327848,0.803243282,0.964285714,0.892857143,0.818181818,0.6015625,0.981818182,0.943396226,0.9,0.751219512,0.901639344,0.82152231,0.73,0.582568807
RT-ARP,GEMINI,739,0.725788497,882,0.832,1,0.835978177,0.998832652,0.994926903,0.97460057,0.934647477,1,0.944444444,0.88372093,0.709677419,1,0.971428571,0.938271605,0.830188679,0.920634921,0.879377432,0.808630394,0.730215827
H-E,GEMINI,1341,0.684322034,1683,0.79597527,0.99663087,0.835210265,0.998133642,0.993777536,0.977664771,0.921722533,1,0.927272727,0.896551724,0.687022901,1,0.962264151,0.945454545,0.814479638,0.91521197,0.884520885,0.836930456,0.740614334
Sobel,GEMINI,1097,0.514386897,1245,0.655220161,0.981587302,0.724870317,0.94301794,0.87033206,0.673587222,0.568115708,0.785714286,0.655172414,0.626373626,0.548387097,0.88,0.791666667,0.77027027,0.708333333,0.48045977,0.445945946,0.412803532,0.3930131
Roberts,GEMINI,1097,0.514386897,1245,0.655220161,0.981587302,0.724870317,0.94301794,0.87033206,0.673587222,0.568115708,0.785714286,0.655172414,0.626373626,0.548387097,0.88,0.791666667,0.77027027,0.708333333,0.48045977,0.445945946,0.412803532,0.3930131
RASTA,GEMINI,875,0.68883357,924,0.80932728,1,0.768231786,0.998738997,0.996111652,0.980520823,0.955969817,0.964285714,0.946428571,0.920454545,0.826446281,0.981818182,0.972477064,0.958579882,0.904977376,0.719769674,0.712643678,0.679849341,0.651205937
Susan,GEMINI,606,0.663706992,710,0.802118172,0.986197049,0.843703882,0.997612706,0.992993945,0.965761342,0.910412371,1,0.963636364,0.909090909,0.705426357,1,0.981481481,0.952380952,0.827272727,0.916167665,0.876470588,0.806818182,0.708894879
JPEG,GEMINI,2461,0.601522021,2924,0.727746741,0.9998156,0.767692719,0.994985299,0.987142774,0.966640949,0.932279484,0.962962963,0.890909091,0.848837209,0.715447154,0.981132075,0.942307692,0.918238994,0.834123223,0.736434109,0.716965047,0.696458685,0.642156863
JPEG-R,GEMINI,493,0.816318927,599,0.886574512,0.99380704,0.842202544,0.999169193,0.997633993,0.992300325,0.981194243,0.925925926,0.907407407,0.848837209,0.697478992,0.961538462,0.951456311,0.918238994,0.821782178,0.932135729,0.916666667,0.886497065,0.846449136
FFG-Ext,GEMINI,4655,0.34418146,4694,0.510123148,1,0.63751946,0.993020796,0.983523857,0.945286617,0.896606991,0.962962963,0.925925926,0.88372093,0.745901639,0.981132075,0.961538462,0.938271605,0.854460094,0.346385542,0.342857143,0.336329588,0.321958457
FFG-HPV,GEMINI,1698,0.685030607,2073,0.793175696,0.991452991,0.805275797,0.993126149,0.983556615,0.944839307,0.886829779,1,0.928571429,0.888888889,0.671755725,1,0.962962963,0.941176471,0.803652968,0.808695652,0.757518797,0.695099819,0.626852659
DG-N,GPT35,583,0.738682205,677,0.834190546,0.999088838,0.810863475,0.998582087,0.995999147,0.985966411,0.966975143,1,0.963636364,0.941860465,0.836065574,1,0.981481481,0.97005988,0.910714286,0.838630807,0.833740831,0.819951338,0.797590361
DG-P,GPT35,1960,0.482576558,2219,0.628494894,0.984496124,0.702768548,0.981698713,0.963247306,0.914522897,0.835912377,0.592592593,0.566037736,0.524390244,0.47706422,0.744186047,0.722891566,0.688,0.645962733,0.489247312,0.44386423,0.397468354,0.357142857
FFG,GPT35,1898,0.55798789,2012,0.705933937,0.99501164,0.721262748,0.990656074,0.978329694,0.942913478,0.885988859,0.964285714,0.929824561,0.920454545,0.834645669,0.981818182,0.963636364,0.958579882,0.909871245,0.548229548,0.528985507,0.508353222,0.484705882
RT-A,GPT35,627,0.656626506,749,0.783713543,0.990170719,0.821441738,0.994913433,0.985277163,0.947681825,0.884986561,0.892857143,0.877192982,0.875,0.801587302,0.943396226,0.934579439,0.933333333,0.889867841,0.816091954,0.759776536,0.701897019,0.643044619
RT-AR,GPT35,732,0.669972949,884,0.78647343,0.99429324,0.816814134,0.994917145,0.985183495,0.93877405,0.892757664,0.931034483,0.898305085,0.89010989,0.841269841,0.964285714,0.946428571,0.941860465,0.913793103,0.834951456,0.774117647,0.69751693,0.651982379
RT-ARP,GPT35,1224,0.520939335,1500,0.649696404,0.993621197,0.743297455,0.958680842,0.897893612,0.678299119,0.572758409,0.785714286,0.679245283,0.609756098,0.5,0.88,0.808988764,0.757575758,0.666666667,0.564870259,0.483870968,0.368421053,0.31641286
H-E,GPT35,2843,0.330743879,2917,0.492077312,0.998335183,0.644117107,0.92630712,0.826740751,0.552869952,0.419662427,0.62962963,0.490566038,0.409638554,0.316239316,0.772727273,0.658227848,0.581196581,0.480519481,0.334957369,0.299287411,0.256616801,0.224719101
Sobel,GPT35,642,0.715803453,773,0.813149625,0.999101124,0.808441421,0.998676128,0.994841284,0.973396905,0.925516529,0.892857143,0.875,0.850574713,0.737704918,0.943396226,0.933333333,0.919254658,0.849056604,0.815602837,0.798122066,0.760368664,0.704697987
Roberts,GPT35,633,0.738321621,792,0.830696879,0.994774169,0.835602076,0.997839614,0.993931336,0.977164677,0.955053919,0.964285714,0.929824561,0.91011236,0.816,0.981818182,0.963636364,0.952941176,0.898678414,0.898454746,0.841201717,0.772256729,0.732251521
RASTA,GPT35,832,0.704125178,988,0.809560524,0.989312433,0.797685018,0.996531064,0.990549421,0.965358068,0.935820891,0.931034483,0.898305085,0.870967742,0.772727273,0.964285714,0.946428571,0.931034483,0.871794872,0.769516729,0.714801444,0.648695652,0.614334471
Susan,GPT35,714,0.687937063,868,0.787775061,0.999529633,0.781261953,0.99806516,0.993427118,0.974845178,0.930288895,0.964285714,0.929824561,0.879120879,0.731343284,0.981818182,0.963636364,0.935672515,0.844827586,0.766109785,0.752969121,0.723653396,0.671981777
JPEG,GPT35,4607,0.254047927,4686,0.402752995,1,0.606600917,0.905108316,0.794454709,0.590502022,0.533195868,0.777777778,0.647058824,0.564102564,0.401785714,0.875,0.785714286,0.721311475,0.573248408,0.241140882,0.239412273,0.234482759,0.22117848
JPEG-R,GPT35,884,0.670640835,1140,0.777950915,0.97684065,0.811419358,0.99587736,0.990182196,0.968294396,0.940128363,0.964285714,0.929824561,0.879120879,0.75,0.981818182,0.963636364,0.935672515,0.857142857,0.821705426,0.769811321,0.708029197,0.653097345
FFG-Ext,GPT35,4013,0.434629473,4379,0.587081565,0.990988797,0.682651209,0.914354217,0.812759002,0.55031312,0.485700618,0.678571429,0.543859649,0.483516484,0.387596899,0.808510638,0.704545455,0.651851852,0.558659218,0.382078853,0.328275862,0.264957265,0.230473752
FFG-HPV,GPT35,2480,0.539974031,2763,0.679800672,0.997407311,0.722188815,0.98456364,0.958712766,0.875861235,0.738357094,0.857142857,0.803571429,0.752808989,0.653543307,0.923076923,0.891089109,0.858974359,0.79047619,0.576699029,0.538899431,0.497227357,0.44593387
DG-N,GPT4,974,0.563424473,1240,0.697117733,1,0.80146946,0.997877876,0.994414692,0.97649856,0.880163822,1,0.981818182,0.954022989,0.686567164,1,0.990825688,0.976470588,0.814159292,0.833333333,0.832923833,0.810218978,0.674943567
DG-P,GPT4,2496,0.341077086,2703,0.493914997,0.97255113,0.640322998,0.929470561,0.835824405,0.640391472,0.442169485,0.592592593,0.527272727,0.471264368,0.393162393,0.744186047,0.69047619,0.640625,0.564417178,0.30026455,0.241772152,0.186666667,0.149411765
FFG,GPT4,2047,0.523288309,2423,0.662017018,0.997939965,0.740620609,0.997547697,0.993280297,0.980142151,0.854649745,1,0.981481481,0.952941176,0.716535433,1,0.990654206,0.975903614,0.834862385,0.636363636,0.627906977,0.607748184,0.511972634
RT-A,GPT4,737,0.549786194,941,0.703435235,0.997791276,0.834069247,0.998843395,0.99666527,0.981087936,0.872772447,1,0.981818182,0.942528736,0.692307692,1,0.990825688,0.970414201,0.818181818,0.925925926,0.919191919,0.874587459,0.6996997
RT-AR,GPT4,865,0.549947971,1097,0.702790572,0.992351816,0.822975073,0.998649922,0.996125391,0.981080127,0.867817069,1,0.982142857,0.954545455,0.732283465,1,0.990990991,0.976744186,0.845454545,0.877777778,0.856749311,0.811320755,0.654320988
RT-ARP,GPT4,1142,0.567260326,1488,0.713515595,0.99966964,0.845097683,0.999781495,0.999373316,0.985775028,0.864348942,1,0.944444444,0.88372093,0.6171875,1,0.971428571,0.938271605,0.763285024,0.971134021,0.967010309,0.907815631,0.717902351
H-E,GPT4,2103,0.504943503,2706,0.680670286,0.99305004,0.84889561,0.999976041,0.999906661,0.995161317,0.889259896,1,0.981481481,0.952941176,0.71875,1,0.990654206,0.975903614,0.836363636,0.987325729,0.984790875,0.947696139,0.764971751
Sobel,GPT4,899,0.602036299,1160,0.739091318,0.988558352,0.839216624,0.999568869,0.998614821,0.993504756,0.89388491,1,0.981481481,0.964705882,0.73553719,1,0.990654206,0.982035928,0.847619048,0.947743468,0.942992874,0.92,0.754310345
Roberts,GPT4,916,0.594510846,1170,0.736842105,0.967525196,0.839140101,0.999568869,0.998614821,0.993504756,0.89388491,1,0.981481481,0.964705882,0.73553719,1,0.990654206,0.982035928,0.847619048,0.947743468,0.942992874,0.92,0.754310345
RASTA,GPT4,1210,0.56970128,1579,0.717379631,0.985276442,0.846059612,0.999718636,0.999135155,0.995936863,0.905489595,1,0.982142857,0.943820225,0.716535433,1,0.990990991,0.971098266,0.834862385,0.973128599,0.969289827,0.946768061,0.780487805
Susan,GPT4,818,0.546059933,1059,0.699574468,0.987869966,0.834816,0.999121129,0.997517974,0.981598222,0.87427678,1,0.981481481,0.941860465,0.643410853,1,0.990654206,0.97005988,0.783018868,0.950920245,0.944785276,0.897897898,0.702702703
JPEG,GPT4,5169,0.163050518,5225,0.278414584,0.998425197,0.576380526,0.950187946,0.88545172,0.734599069,0.530023179,1,0.944444444,0.872093023,0.622047244,1,0.971428571,0.931677019,0.766990291,0.159620362,0.155900086,0.146278871,0.120603015
JPEG-R,GPT4,1171,0.566456868,1445,0.731662024,0.999371069,0.850547317,0.999968177,0.999876718,0.996481134,0.901289698,1,0.981481481,0.953488372,0.677419355,1,0.990654206,0.976190476,0.807692308,0.995975855,0.99195171,0.96031746,0.773381295
FFG-Ext,GPT4,2954,0.58382643,3633,0.741662519,0.987233027,0.849580038,0.999839382,0.999526792,0.997889527,0.907719966,0.962962963,0.944444444,0.906976744,0.640625,0.981132075,0.971428571,0.951219512,0.780952381,0.972932331,0.969947408,0.952309985,0.788251366
FFG-HPV,GPT4,2323,0.569096643,2856,0.732634338,0.986796605,0.844174928,0.999696624,0.999142364,0.996290362,0.90867277,0.962962963,0.944444444,0.906976744,0.640625,0.981132075,0.971428571,0.951219512,0.780952381,0.972166998,0.970178926,0.950738916,0.783588819
DG-N,LLAMA3,936,0.580457194,1041,0.719633719,1,0.757187853,0.996861081,0.990269417,0.961275945,0.885425136,0.964285714,0.894736842,0.865168539,0.689922481,0.981818182,0.944444444,0.927710843,0.816513761,0.652811736,0.64792176,0.635036496,0.58392435
DG-P,LLAMA3,1202,0.682682154,1424,0.789161978,0.982025678,0.767635522,0.99443836,0.986661237,0.965482304,0.929732534,0.592592593,0.576923077,0.5375,0.481481481,0.744186047,0.731707317,0.699186992,0.65,0.685060565,0.638269987,0.591836735,0.565326633
FFG,LLAMA3,2727,0.364927806,2826,0.525838926,0.98790932,0.661324412,0.994727734,0.979941272,0.927721032,0.771985289,0.838709677,0.770491803,0.752688172,0.592592593,0.912280702,0.87037037,0.858895706,0.744186047,0.361077111,0.34872418,0.33655006,0.293567251
RT-A,LLAMA3,691,0.577886378,772,0.714285714,0.998417722,0.755044773,0.992001879,0.973831106,0.91444563,0.754101557,0.962962963,0.888888889,0.86746988,0.655737705,0.981132075,0.941176471,0.929032258,0.792079208,0.675675676,0.641196013,0.618421053,0.517027864
RT-AR,LLAMA3,673,0.649843913,781,0.772236804,0.994983278,0.793191395,0.993685842,0.979812533,0.937756063,0.806199471,0.964285714,0.875,0.848837209,0.68852459,0.981818182,0.933333333,0.918238994,0.815533981,0.779005525,0.725806452,0.679790026,0.5599022
RT-ARP,LLAMA3,1266,0.504500978,1382,0.656389856,0.999427262,0.713428292,0.985904602,0.96311138,0.891976868,0.719073352,0.928571429,0.803571429,0.747126437,0.564516129,0.962962963,0.891089109,0.855263158,0.721649485,0.576519916,0.549586777,0.517241379,0.420952381
H-E,LLAMA3,2877,0.322740113,2922,0.48429227,1,0.643535076,0.981151636,0.952868232,0.856933856,0.673215913,0.928571429,0.839285714,0.813953488,0.653225806,0.962962963,0.912621359,0.897435897,0.790243902,0.335435057,0.324561404,0.313823163,0.265625
Sobel,LLAMA3,934,0.586542718,1072,0.719811814,0.997855228,0.764224452,0.991724493,0.975063953,0.919809188,0.774297605,0.896551724,0.824561404,0.795454545,0.62601626,0.945454545,0.903846154,0.886075949,0.77,0.679906542,0.648275862,0.617647059,0.507399577
Roberts,LLAMA3,934,0.586542718,1072,0.719811814,0.997855228,0.764224452,0.991724493,0.975063953,0.919809188,0.774297605,0.896551724,0.824561404,0.795454545,0.62601626,0.945454545,0.903846154,0.886075949,0.77,0.679906542,0.648275862,0.617647059,0.507399577
