File,Levenshtein-Dist,Levenshtein-Sim,LCS-Dist,LCS-Sim,Overlap,Jaro-Sim,Jaro-Winkler-Sim,1-cosine,2-cosine,3-cosine,4-cosine,1-jaccard,2-jaccard,3-jaccard,4-jaccard,1-sorensen_dice,2-sorensen_dice,3-sorensen_dice,4-sorensen_dice,1-qgram,2-qgram,3-qgram,4-qgram
2023-02-0-08.04.xes,80,0.86949429,80,0.930191972,0.978333333,0.874571893,,0.995354966,0.986524247,0.967562973,0.952355848,1,1,1,0.976190476,1,1,1,0.987951807,0.894736842,0.893333333,0.891891892,0.890410959
2023-02-07-09.06.xes,453,0.668131868,470,0.795829713,0.99905482,0.756741634,,0.977947335,0.938991383,0.898848973,0.829911471,0.722222222,0.625,0.583333333,0.505882353,0.838709677,0.769230769,0.736842105,0.671875,0.64516129,0.608465608,0.572916667,0.492537313
2023-02-07-09.17.xes,207,0.769230769,257,0.853394181,0.948186528,0.828078142,,0.988826637,0.964581277,0.830599101,0.713778304,0.866666667,0.764705882,0.68627451,0.558823529,0.928571429,0.866666667,0.813953488,0.716981132,0.867768595,0.792,0.620437956,0.506849315
2023-02-07-09.27.xes,318,0.670124481,363,0.785840708,0.971916972,0.776165387,,0.960703404,0.867414942,0.664954268,0.524373763,0.705882353,0.594594595,0.509090909,0.434782609,0.827586207,0.745762712,0.674698795,0.606060606,0.694915254,0.559055118,0.4,0.328767123
2023-02-07-09.48.xes,206,0.70487106,266,0.807803468,0.922976501,0.826645922,,0.973899734,0.910871132,0.732274822,0.619668759,0.769230769,0.666666667,0.55,0.442307692,0.869565217,0.8,0.709677419,0.613333333,0.774193548,0.63,0.45045045,0.336134454
2023-02-07-10.5.xes,331,0.516081871,388,0.682487725,0.978441128,0.780851733,,0.953435282,0.847494019,0.460178993,0.257420765,0.75,0.526315789,0.389830508,0.263157895,0.857142857,0.689655172,0.56097561,0.416666667,0.697674419,0.5,0.267857143,0.176470588
2023-02-07-11.07.xes,158,0.637614679,183,0.778718259,0.931818182,0.805057009,,0.957427108,0.893301281,0.658706483,0.35482621,0.857142857,0.678571429,0.522727273,0.288135593,0.923076923,0.808510638,0.686567164,0.447368421,0.75862069,0.639344262,0.420289855,0.230769231
2023-02-08-09.01.xes,309,0.596078431,375,0.746106974,0.928039702,0.81589228,,0.95136445,0.845662437,0.46304013,0.242921837,0.681818182,0.48,0.375,0.23853211,0.810810811,0.648648649,0.545454545,0.385185185,0.678899083,0.495867769,0.297101449,0.187919463
2023-02-08-13.19.xes,447,0.447466007,474,0.607615894,0.973154362,0.689880862,,0.946916141,0.878045424,0.722753808,0.477103576,0.647058824,0.5,0.385964912,0.223684211,0.785714286,0.666666667,0.556962025,0.365591398,0.385964912,0.333333333,0.272727273,0.160305344
2023-02-08-14.30.xes,328,0.513353116,428,0.659235669,0.891437309,0.778528792,,0.89305172,0.769759933,0.485386484,0.260806453,0.476190476,0.291666667,0.213333333,0.121212121,0.64516129,0.451612903,0.351648352,0.216216216,0.5,0.367521368,0.224806202,0.122302158
2023-02-09-08.10.xes,184,0.73255814,197,0.839445803,0.991638796,0.799795235,,0.980878623,0.95620342,0.920263619,0.887554357,0.909090909,0.857142857,0.857142857,0.823529412,0.952380952,0.923076923,0.923076923,0.903225806,0.75,0.746835443,0.743589744,0.717948718
2023-02-09-10.13.xes,385,0.607942974,431,0.73989137,1,0.756531644,,0.972227326,0.937935016,0.826994874,0.673435824,0.923076923,0.814814815,0.717948718,0.518518519,0.96,0.897959184,0.835820896,0.682926829,0.655172414,0.623931624,0.553719008,0.409090909
2023-02-09-13.33.xes,249,0.624434389,335,0.742505765,0.963328632,0.842721083,,0.993673766,0.970378598,0.86473994,0.721689844,0.923076923,0.884615385,0.837837838,0.6875,0.96,0.93877551,0.911764706,0.814814815,0.897435897,0.802469136,0.655172414,0.543478261
2023-02-09-13.37.xes,235,0.607679466,293,0.748928877,0.924528302,0.838531911,,0.960503851,0.897727681,0.724934336,0.62841702,0.611111111,0.552631579,0.490909091,0.375,0.75862069,0.711864407,0.658536585,0.545454545,0.728395062,0.604651163,0.47826087,0.353535354
2023-02-10-08.43.xes,1991,0.131326353,2001,0.23127161,0.997109827,0.606336264,,0.976276822,0.902427728,0.780032416,0.627364154,0.733333333,0.666666667,0.595238095,0.436363636,0.846153846,0.8,0.746268657,0.607594937,0.127819549,0.111940299,0.100371747,0.088888889
2023-02-10-08.50.xes,527,0.358099878,529,0.526410027,1,0.681552518,,0.975187146,0.929357979,0.786139114,0.63992219,0.8125,0.696969697,0.630434783,0.457627119,0.896551724,0.821428571,0.773333333,0.627906977,0.360824742,0.340206186,0.319587629,0.272727273
2023-02-10-08.58.xes,707,0.537908497,746,0.698464026,0.981921979,0.713853246,,0.962932887,0.887206949,0.736842333,0.597307715,0.714285714,0.678571429,0.692307692,0.5,0.833333333,0.808510638,0.818181818,0.666666667,0.510638298,0.417085427,0.365853659,0.299065421
2023-02-10-09.38.xes,971,0.559836809,1110,0.700323974,0.93888556,0.72129366,,0.963425635,0.912817867,0.759355061,0.668633568,0.769230769,0.703703704,0.657894737,0.480769231,0.869565217,0.826086957,0.793650794,0.649350649,0.529824561,0.427631579,0.35,0.28742515
2023-02-10-10.09.xes,1767,0.324541284,1823,0.482249361,0.993055556,0.629539186,,0.965921999,0.904505281,0.771159895,0.617761832,0.625,0.59375,0.577777778,0.45,0.769230769,0.745098039,0.732394366,0.620689655,0.315960912,0.268138801,0.242236025,0.206060606
