File,Levenshtein-Dist,Levenshtein-Sim,LCS-Dist,LCS-Sim,Overlap,Jaro-Sim,Jaro-Winkler-Sim,1-cosine,2-cosine,3-cosine,4-cosine,1-jaccard,2-jaccard,3-jaccard,4-jaccard,1-sorensen_dice,2-sorensen_dice,3-sorensen_dice,4-sorensen_dice,1-qgram,2-qgram,3-qgram,4-qgram
2023-02-0-08.04.xes,204,0.703056769,254,0.804615385,0.960812772,0.827645399,,0.966926979,0.886657221,0.796266631,0.603496577,0.866666667,0.787878788,0.75,0.555555556,0.928571429,0.881355932,0.857142857,0.714285714,0.744680851,0.636363636,0.6,0.449541284
2023-02-07-09.06.xes,532,0.668535826,676,0.772390572,0.965138799,0.813460066,,0.996200063,0.983200029,0.901019595,0.762618707,0.777777778,0.75,0.716666667,0.522727273,0.875,0.857142857,0.834951456,0.686567164,0.826484018,0.776785714,0.677966102,0.486792453
2023-02-07-09.17.xes,259,0.711259755,318,0.821748879,0.941176471,0.840638787,,0.986665582,0.942598562,0.862602749,0.690970996,0.866666667,0.757575758,0.714285714,0.544117647,0.928571429,0.862068966,0.833333333,0.704761905,0.864,0.723880597,0.647482014,0.483660131
2023-02-07-09.27.xes,368,0.636363636,411,0.764199656,0.960927961,0.770270491,,0.981250714,0.943432148,0.861002424,0.723904252,0.785714286,0.689655172,0.619047619,0.5,0.88,0.816326531,0.764705882,0.666666667,0.691056911,0.648,0.581395349,0.442857143
2023-02-07-09.48.xes,241,0.712066906,285,0.814332248,0.962915601,0.810016438,,0.983464694,0.936004284,0.823621003,0.64832916,0.909090909,0.869565217,0.818181818,0.644444444,0.952380952,0.930232558,0.9,0.783783784,0.757009346,0.690909091,0.586206897,0.421875
2023-02-07-10.5.xes,269,0.606725146,347,0.727415554,0.963636364,0.814887582,,0.964627899,0.889804378,0.677929726,0.419398885,0.857142857,0.696969697,0.625,0.388059701,0.923076923,0.821428571,0.769230769,0.559139785,0.747126437,0.612903226,0.465346535,0.280701754
2023-02-07-11.07.xes,157,0.666666667,211,0.767364939,0.973360656,0.850230007,,0.997619834,0.985445037,0.903846154,0.688543991,1,0.92,0.833333333,0.52,1,0.958333333,0.909090909,0.684210526,0.928571429,0.892857143,0.733333333,0.47826087
2023-02-08-09.01.xes,286,0.626143791,337,0.76838488,0.952134541,0.819550133,,0.940017879,0.753991599,0.430196398,0.244077889,0.823529412,0.536585366,0.491803279,0.288888889,0.903225806,0.698412698,0.659340659,0.448275862,0.737373737,0.452991453,0.333333333,0.211678832
2023-02-08-13.19.xes,524,0.413213886,552,0.572755418,0.973154362,0.698226062,,0.987102652,0.961540486,0.897719894,0.689296765,0.733333333,0.636363636,0.604166667,0.412698413,0.846153846,0.777777778,0.753246753,0.584269663,0.428571429,0.410714286,0.392857143,0.272727273
2023-02-08-14.30.xes,254,0.580165289,351,0.704296546,0.889908257,0.813976133,,0.953680153,0.886318737,0.744845616,0.542743308,0.555555556,0.45,0.413793103,0.289473684,0.714285714,0.620689655,0.585365854,0.448979592,0.714285714,0.56043956,0.443298969,0.301886792
2023-02-09-08.10.xes,303,0.660694289,349,0.779253637,0.973958333,0.795329685,,0.970822666,0.920423434,0.84084097,0.647357548,1,0.913043478,0.848484848,0.586956522,1,0.954545455,0.918032787,0.739726027,0.724770642,0.706422018,0.642857143,0.456
2023-02-09-10.13.xes,380,0.659192825,463,0.779208393,0.973588342,0.825310446,,0.996621324,0.984664169,0.903346387,0.707958204,1,0.892857143,0.829268293,0.566666667,1,0.943396226,0.906666667,0.723404255,0.852941176,0.824817518,0.722222222,0.5
2023-02-09-13.33.xes,365,0.590347924,454,0.707850708,0.974289581,0.77845321,,0.976580095,0.9198441,0.85147716,0.679395152,0.923076923,0.857142857,0.829268293,0.603448276,0.96,0.923076923,0.906666667,0.752688172,0.703703704,0.669724771,0.621621622,0.483333333
2023-02-09-13.37.xes,292,0.602721088,361,0.722947045,0.962264151,0.781997841,,0.980955894,0.954080819,0.839047079,0.759609901,0.611111111,0.564102564,0.526315789,0.38961039,0.75862069,0.721311475,0.689655172,0.560747664,0.684210526,0.628865979,0.529411765,0.425925926
2023-02-10-08.43.xes,1023,0.553664921,1325,0.710129075,0.885758998,0.798762238,,0.958028282,0.865598401,0.703560846,0.491616079,0.8,0.606060606,0.5625,0.430769231,0.888888889,0.754716981,0.72,0.602150538,0.721518987,0.531073446,0.40625,0.271867612
2023-02-10-08.50.xes,306,0.6272838,402,0.750310559,0.954954955,0.851839183,,0.982773704,0.925835515,0.802328177,0.632432432,0.9375,0.8,0.764705882,0.549295775,0.967741935,0.888888889,0.866666667,0.709090909,0.831775701,0.716814159,0.627118644,0.472868217
2023-02-10-08.58.xes,674,0.61353211,776,0.762981063,0.919695193,0.780198614,,0.96448028,0.868348387,0.713685389,0.514778703,0.785714286,0.580645161,0.543478261,0.380952381,0.88,0.734693878,0.704225352,0.551724138,0.682403433,0.535433071,0.437037037,0.304054054
2023-02-10-09.38.xes,1693,0.538692098,1854,0.684479238,0.969635628,0.718797878,,0.96539172,0.900121142,0.76370469,0.603636733,0.714285714,0.714285714,0.682926829,0.517241379,0.833333333,0.833333333,0.811594203,0.681818182,0.545064378,0.511578947,0.464212679,0.344632768
2023-02-10-10.09.xes,1679,0.358180428,1769,0.515740487,0.986254296,0.646276763,,0.944528337,0.852967705,0.696337305,0.490246335,0.6875,0.514285714,0.490196078,0.382352941,0.814814815,0.679245283,0.657894737,0.553191489,0.380645161,0.290909091,0.239766082,0.168975069
2023-02-10-10.37.xes,5328,0.305073692,5390,0.464640445,0.996290801,0.627020073,,0.962389826,0.885839821,0.765366373,0.546603328,0.8,0.588235294,0.529411765,0.411764706,0.888888889,0.740740741,0.692307692,0.583333333,0.308533917,0.233471074,0.19558676,0.143131604
