Fold,Avg Precision,Avg Recall,Avg F1,Avg pr time,Avg rec time
fold_1,50.0,26.30952380952381,34.30555555555556,0.018510162830352783,0.2149944305419922
fold_2,66.66666666666666,30.357142857142854,41.666666666666664,0.010432183742523193,0.19479453563690186
fold_3,58.33333333333333,28.214285714285715,37.916666666666664,0.019134700298309326,0.27079546451568604
fold_4,75.0,36.875,49.05303030303031,0.008452534675598145,0.23307031393051147
fold_5,66.66666666666667,30.952380952380953,42.22222222222222,0.008193890253702799,0.23663059870402017
