Fold,Avg Precision,Avg Recall,Avg F1,Avg pr time,Avg rec time
fold_1,5.263157894736842,5.1378446115288225,4.912280701754386,0.017454097145482114,0.39239586027045
fold_2,5.263157894736842,3.333333333333333,3.8798920377867745,0.018642751794112355,0.4679738094932155
fold_3,7.894736842105263,2.720437457279562,3.859796550199027,0.01888306517350046,0.645248387989245
fold_4,3.5087719298245608,1.8045112781954886,2.3684210526315788,0.01702286067761873,0.36426911855998795
fold_5,5.263157894736842,7.0175438596491215,5.964912280701754,0.018035788285104853,0.31544779476366547
