feature,dataset,domain,mse,Precision,Recall,F1,Avg pr time,Avg rec time
attrs,𝐷𝑚02,Avionic,HEPSYCODE,100,20,33.33333333,0.047899246,108.7290576
class,𝐷𝑚02,Avionic,HEPSYCODE,88.88888889,61.53846154,72.72727273,0.052952051,88.90766883
attrs,𝐷𝑚05,Avionic,HEPSYCODE,88.88888889,16.32653061,27.5862069,0.053370953,90.2234354
class,𝐷𝑚05,Avionic,HEPSYCODE,88.88888889,61.53846154,72.72727273,0.052610159,89.45311499
attrs,𝐷𝑚08,Avionic,HEPSYCODE,88.88888889,16.66666667,28.07017544,0.055388927,107.1160543
class,𝐷𝑚08,Avionic,HEPSYCODE,88.88888889,61.53846154,72.72727273,0.054633617,102.8547702
attrs,GPT-4,Avionic,HEPSYCODE,83.33333333,7.936507937,14.49275362,0.094599009,73.65838695
class,GPT-4,Avionic,HEPSYCODE,85.71428571,50,63.15789474,0.083329678,71.03073788
attrs,Manual,Automotive,HEPSYCODE,80,29.62962963,43.24324324,0.09202075,57.10378838
class,Manual,Automotive,HEPSYCODE,80,47.05882353,59.25925926,0.095833778,55.61588216
attrs,𝐷𝑚02,Automotive,HEPSYCODE,83.33333333,15.625,26.31578947,0.091196537,57.31825781
class,𝐷𝑚02,Automotive,HEPSYCODE,60,27.27272727,37.5,0.08752799,48.32525539
attrs,𝐷𝑚05,Automotive,HEPSYCODE,75,11.53846154,20,0.087655067,46.92855477
class,𝐷𝑚05,Automotive,HEPSYCODE,75,42.85714286,54.54545455,0.107481956,47.3654213
attrs,𝐷𝑚08,Automotive,HEPSYCODE,66.66666667,13.33333333,22.22222222,0.083092213,55.10193419
class,𝐷𝑚08,Automotive,HEPSYCODE,40,18.18181818,25,0.084243774,54.24491405
attrs,GPT-4,Automotive,HEPSYCODE,75,21.42857143,33.33333333,0.036575794,37.61776233
class,GPT-4,Automotive,HEPSYCODE,100,42.85714286,60,0.035574436,36.23934293
attrs,Manual,Automotive,CAEX,26.66666667,58.33333333,35.06844033,0.051175117,4.960274617
class,Manual,Automotive,CAEX,40,79.25925926,49.00584795,0.05368789,5.23029089
attrs,𝐷𝑚02,Automotive,CAEX,22.22222222,44.44444444,28.81562882,0.04434673,3.532091061
class,𝐷𝑚02,Automotive,CAEX,29.62962963,56.66666667,38.82783883,0.050219536,3.524699847
attrs,𝐷𝑚05,Automotive,CAEX,29.62962963,61.11111111,39.07203907,0.04757754,4.249679168
class,𝐷𝑚05,Automotive,CAEX,53.33333333,77.97619048,63.12636166,0.045170863,4.137054682
attrs,𝐷𝑚08,Automotive,CAEX,50,56.11111111,47.51322751,0.049759229,3.961783012
class,𝐷𝑚08,Automotive,CAEX,42.85714286,61.26984127,49.04761905,0.048353752,3.917514086
attrs,GPT-4,Automotive,CAEX,42.85714286,63.46153846,49.09090909,0.048585971,4.02419281
class,GPT-4,Automotive,CAEX,33.33333333,72.22222222,43.49206349,0.048452695,4.102628628
