word_combination,occurrences_dir1,occurrences_dir2,hallucination_ratio
nodes,3,3,1
name,34,31,0.911764706
ports,4,6,1.5
pChannels,3,3,1
pFrom,3,3,1
pTo,4,4,1
processes,4,4,1
portExtension,2,2,1
nChannels,4,4,1
nFrom,4,4,1
nTo,4,4,1
processExtension,3,3,1
queueSize,5,4,0.8
rendezVous,7,6,0.857142857
message,5,4,0.8
entry,5,4,0.8
type,8,7,0.875
name,52,70,1.346153846
processes,7,11,1.571428571
nChannels,14,18,1.285714286
nFrom,14,18,1.285714286
nTo,14,18,1.285714286
queueSize,14,18,1.285714286
rendezVous,16,18,1.125
message,14,18,1.285714286
entry,14,18,1.285714286
type,19,18,0.947368421
nodes,3,3,1
name,69,55,0.797101449
ports,6,6,1
pChannels,3,3,1
pFrom,3,3,1
pTo,3,3,1
processes,8,8,1
nChannels,12,12,1
nFrom,12,12,1
nTo,12,12,1
portExtension,2,2,1
processExtension,1,1,1
rendezVous,13,13,1
queueSize,13,13,1
message,12,12,1
entry,12,12,1
type,18,12,0.666666667
nodes,3,3,1
name,24,22,0.916666667
ports,4,4,1
pChannels,2,2,1
pFrom,2,2,1
pTo,2,2,1
processes,4,4,1
processExtension,3,1,0.333333333
portExtension,1,1,1
nChannels,4,4,1
nFrom,4,4,1
nTo,4,4,1
queueSize,3,3,1
rendezVous,3,3,1
message,3,3,1
entry,3,3,1
type,5,3,0.6
nodes,3,3,1
name,28,25,0.892857143
ports,4,4,1
pChannels,2,2,1
pFrom,2,2,1
pTo,2,2,1
processes,4,4,1
portExtension,1,1,1
processExtension,1,1,1
nChannels,5,5,1
nFrom,5,5,1
nTo,5,5,1
queueSize,4,4,1
rendezVous,5,5,1
message,5,5,1
entry,5,5,1
type,7,5,0.714285714
direction,1,1,1
nodes,3,3,1
ports,8,8,1
pChannels,4,4,1
pFrom,4,4,1
pTo,4,4,1
processes,6,6,1
name,37,32,0.864864865
nChannels,6,6,1
nFrom,6,6,1
nTo,6,6,1
portExtension,2,2,1
processExtension,2,2,1
queueSize,6,6,1
rendezVous,6,6,1
message,6,6,1
entry,6,6,1
type,6,6,1
nodes,3,3,1
name,63,55,0.873015873
processes,11,11,1
ports,12,12,1
pChannels,6,6,1
pFrom,6,6,1
pTo,6,6,1
portExtension,3,3,1
nChannels,11,11,1
nFrom,11,11,1
nTo,11,11,1
processExtension,3,3,1
queueSize,10,10,1
rendezVous,10,10,1
message,10,10,1
entry,10,10,1
type,11,10,0.909090909
nodes,3,3,1
name,34,31,0.911764706
ports,4,4,1
pChannels,2,2,1
pFrom,2,2,1
pTo,2,2,1
processes,5,5,1
portExtension,1,1,1
processExtension,1,1,1
nChannels,6,6,1
nFrom,6,6,1
nTo,6,6,1
queueSize,6,6,1
rendezVous,6,6,1
message,6,6,1
entry,6,6,1
type,9,6,0.666666667
nodes,3,3,1
name,34,30,0.882352941
ports,4,4,1
pChannels,2,2,1
pFrom,2,2,1
pTo,2,2,1
processes,5,5,1
portExtension,1,1,1
processExtension,1,1,1
nChannels,6,6,1
nFrom,6,6,1
nTo,6,6,1
queueSize,6,6,1
rendezVous,6,6,1
message,6,6,1
entry,6,6,1
type,9,6,0.666666667
nodes,3,3,1
name,40,38,0.95
ports,4,4,1
pChannels,2,2,1
pFrom,2,2,1
pTo,2,2,1
processes,7,7,1
portExtension,1,1,1
nChannels,8,8,1
nFrom,8,8,1
nTo,8,8,1
processExtension,1,1,1
queueSize,8,8,1
rendezVous,8,8,1
message,8,8,1
entry,8,8,1
type,11,8,0.727272727
direction,1,1,1
nodes,3,3,1
ports,4,4,1
pChannels,2,2,1
pFrom,2,2,1
pTo,2,2,1
processes,5,5,1
name,25,24,0.96
processExtension,3,1,0.333333333
portExtension,3,1,0.333333333
nChannels,4,4,1
nFrom,4,4,1
nTo,4,4,1
queueSize,4,4,1
rendezVous,4,4,1
message,4,4,1
entry,4,4,1
type,4,4,1
nodes,3,3,1
ports,4,4,1
pChannels,2,2,1
pFrom,2,2,1
pTo,2,2,1
processes,16,16,1
name,85,84,0.988235294
portExtension,1,1,1
processExtension,1,2,2
nChannels,20,20,1
nFrom,20,20,1
nTo,20,20,1
queueSize,18,18,1
rendezVous,20,20,1
message,20,20,1
entry,19,19,1
type,36,19,0.527777778
nodes,3,3,1
ports,4,4,1
pChannels,2,2,1
pFrom,2,2,1
pTo,2,2,1
processes,6,6,1
name,39,39,1
portExtension,1,1,1
nChannels,8,8,1
nFrom,8,8,1
nTo,8,8,1
processExtension,1,2,2
queueSize,8,8,1
rendezVous,8,8,1
message,8,8,1
entry,8,8,1
type,8,8,1
nodes,3,3,1
ports,6,6,1
pChannels,3,3,1
pFrom,3,3,1
pTo,3,3,1
name,100,95,0.95
processes,14,14,1
portExtension,2,2,1
nChannels,24,23,0.958333333
nFrom,24,23,0.958333333
nTo,24,23,0.958333333
processExtension,1,1,1
queueSize,23,22,0.956521739
rendezVous,24,23,0.958333333
message,24,23,0.958333333
entry,24,23,0.958333333
type,30,23,0.766666667
nodes,3,3,1
ports,6,6,1
pChannels,3,3,1
pFrom,3,3,1
pTo,3,3,1
processes,13,13,1
name,75,76,1.013333333
portExtension,2,2,1
nChannels,17,17,1
nFrom,17,17,1
nTo,17,17,1
processExtension,1,1,1
queueSize,17,17,1
rendezVous,17,17,1
message,17,17,1
entry,17,17,1
type,23,17,0.739130435
