feature,dataset,Precision,Recall,F1,Avg pr time,Avg rec time
class,Manual,90,69.23076923,78.26086957,0.089127779,43.96809912
class,𝐷𝑚02,75,37.5,50,0.087541342,35.08481574
class,𝐷𝑚05,75,60,66.66666667,0.081773043,33.17865705
class,𝐷𝑚08,60,37.5,46.15384615,0.085652351,40.80363989
class,GPT-4,100,45.45454545,62.5,0.079119921,27.22903776
class,Manual,90,60,72,0.085995197,34.73800182
class,𝐷𝑚02,80,44.44444444,57.14285714,0.049065113,30.11332822
class,𝐷𝑚05,75,50,60,0.035259485,26.55802679
class,𝐷𝑚08,60,33.33333333,42.85714286,0.040242195,33.24864292
class,GPT-4,100,50,66.66666667,0.03183341,22.0560708
class,Manual,90,56.25,69.23076923,0.045058012,59.14420915
class,𝐷𝑚02,75,30,42.85714286,0.088095665,46.64817023
class,𝐷𝑚05,75,46.15384615,57.14285714,0.085767984,44.66023827
class,𝐷𝑚08,60,30,40,0.085095406,52.89121819
class,GPT-4,100,38.46153846,55.55555556,0.035524607,35.22953057
class,Manual,90,69.23076923,78.26086957,0.101620436,111.2335138
class,𝐷𝑚02,88.88888889,61.53846154,72.72727273,0.052952051,88.90766883
class,𝐷𝑚05,88.88888889,61.53846154,72.72727273,0.052610159,89.45311499
class,𝐷𝑚08,88.88888889,61.53846154,72.72727273,0.054633617,102.8547702
class,GPT-4,85.71428571,50,63.15789474,0.083329678,71.03073788
class,Manual,80,47.05882353,59.25925926,0.095833778,55.61588216
class,𝐷𝑚02,60,27.27272727,37.5,0.08752799,48.32525539
class,𝐷𝑚05,75,42.85714286,54.54545455,0.107481956,47.3654213
class,𝐷𝑚08,40,18.18181818,25,0.084243774,54.24491405
class,GPT-4,100,42.85714286,60,0.035574436,36.23934293
